grid number,Direction,Expansions,Time [ms]
0,s -> t,"35,748","399,572"
0,t -> s,"58,015","607,394"
0,XMM,"57,984","757,465"
0,s -> t,"34,675","380,921"
0,t -> s,"31,204","360,304"
0,XMM,"41,270","547,465"
0,s -> t,"9,766","123,451"
0,t -> s,"9,981","127,631"
0,XMM,"14,183","204,324"
0,s -> t,"58,129","669,617"
0,t -> s,"62,062","718,499"
0,XMM,"78,658","1,040,758"
0,s -> t,"89,450","956,882"
0,t -> s,"82,713","854,437"
0,XMM,"101,816","1,243,142"
0,s -> t,"34,925","402,077"
0,t -> s,"33,877","382,863"
0,XMM,"50,190","615,841"
0,s -> t,"44,160","462,918"
0,t -> s,"44,028","454,827"
0,XMM,"61,344","718,123"
0,s -> t,"44,722","425,891"
0,t -> s,"47,740","452,763"
0,XMM,"56,796","636,026"
0,s -> t,"12,552","140,354"
0,t -> s,"10,928","125,596"
0,XMM,"17,395","218,081"
0,s -> t,"30,043","329,339"
0,t -> s,"33,294","365,839"
0,XMM,"44,154","530,378"
