grid number,Direction,Expansions,Time [ms]
0,s -> t,"4,534","43,715"
0,t -> s,"2,899","28,403"
0,XMM,"5,790","62,068"
0,s -> t,"5,364","41,669"
0,t -> s,"6,142","52,832"
0,XMM,"6,636","68,101"
0,s -> t,"10,555","94,238"
0,t -> s,"9,330","75,424"
0,XMM,"12,244","124,542"
0,s -> t,"7,881","56,973"
0,t -> s,"4,218","31,277"
0,XMM,"6,387","61,902"
0,s -> t,"1,585","14,165"
0,t -> s,"5,668","50,097"
0,XMM,"4,991","52,954"
0,s -> t,"5,291","48,839"
0,t -> s,"7,662","72,293"
0,XMM,"8,453","91,547"
0,s -> t,"5,913","55,136"
0,t -> s,"6,095","57,075"
0,XMM,"7,869","91,507"
0,s -> t,"12,063","102,784"
0,t -> s,"7,573","74,145"
0,XMM,"11,450","126,777"
0,s -> t,"6,226","53,639"
0,t -> s,"15,681","115,064"
0,XMM,"10,296","106,173"
0,s -> t,"3,778","36,055"
0,t -> s,"5,918","56,595"
0,XMM,"6,111","69,649"
