grid number,Direction,Expansions,Time [ms]
0,s -> t,"1,647","13,968"
0,t -> s,"2,441","18,026"
0,XMM,"2,503","25,236"
0,s -> t,"3,754","29,330"
0,t -> s,"1,765","15,797"
0,XMM,"2,833","30,081"
0,s -> t,"2,318","18,793"
0,t -> s,"2,050","19,077"
0,XMM,"2,711","27,768"
0,s -> t,464,"3,882"
0,t -> s,"1,584","15,258"
0,XMM,"1,223","14,089"
0,s -> t,"2,718","22,962"
0,t -> s,"1,980","15,838"
0,XMM,"3,322","31,833"
0,s -> t,"4,055","28,785"
0,t -> s,"1,358","10,262"
0,XMM,"3,002","28,751"
0,s -> t,"1,228","10,462"
0,t -> s,"1,172","9,753"
0,XMM,"1,462","15,330"
0,s -> t,"2,213","19,854"
0,t -> s,"2,807","23,312"
0,XMM,"3,166","32,611"
0,s -> t,"2,519","21,271"
0,t -> s,547,"4,826"
0,XMM,"2,506","24,102"
0,s -> t,"1,271","10,325"
0,t -> s,"4,479","31,344"
0,XMM,"2,587","26,354"
