grid number,Direction,Expansions,Time [ms]
0,s -> t,"17,849","168,857"
0,t -> s,"25,398","240,451"
0,XMM,"27,757","311,263"
0,s -> t,"14,559","138,531"
0,t -> s,"17,553","165,566"
0,XMM,"20,799","228,880"
0,s -> t,"19,150","192,901"
0,t -> s,"20,499","207,333"
0,XMM,"26,468","306,096"
0,s -> t,"6,886","72,224"
0,t -> s,"6,886","75,172"
0,XMM,"9,517","116,487"
0,s -> t,"28,202","269,158"
0,t -> s,"30,834","280,926"
0,XMM,"35,791","396,885"
0,s -> t,"13,578","130,207"
0,t -> s,"15,035","146,690"
0,XMM,"19,257","217,026"
0,s -> t,"19,392","195,193"
0,t -> s,"17,582","178,072"
0,XMM,"26,093","298,027"
0,s -> t,"12,004","126,196"
0,t -> s,"13,170","140,742"
0,XMM,"17,265","206,542"
0,s -> t,"19,005","186,134"
0,t -> s,"20,850","194,277"
0,XMM,"26,103","289,875"
0,s -> t,"16,379","163,074"
0,t -> s,"13,444","137,141"
0,XMM,"20,402","236,570"
