Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XA*,561,1116,30949,68849,,
13x13,BiXA*,1537,5626,90580,311679,,
