Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,122,286,210,515,380,927,1089,2756,-,-
7x7,BiX-DFBnB,303,1085,254,1155,846,2664,1635,7250,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,246,677,533,1672,1168,3293,2690,8031,-,-
7x8,BiX-DFBnB,751,2215,2663,9331,1555,7675,4427,22930,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,404,1216,1085,2982,1818,6868,2517,9436,-,-
7x9,BiX-DFBnB,750,3755,3846,12498,3606,23303,4518,29809,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,442,1276,666,2310,2950,9780,4640,16646,-,-
8x8,BiX-DFBnB,693,3675,1175,7266,4218,25805,11657,59634,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,720,2570,1937,7587,7117,26553,19675,87022,-,-
8x9,BiX-DFBnB,2348,11557,6592,37496,13118,92728,28318,235169,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1731,7033,7860,31226,10704,51268,-,-,-,-
9x9,BiX-DFBnB,7070,37302,14446,105026,15222,135404,-,-,-,-
