Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XIDA,1879,6398,76597,310602,,
13x13,BiXIDA,2751,6160,53636,126732,,
