Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,3
4,BiXA*,1,1,3,3
5,XA*,35,50,36,50
5,BiXA*,10,59,18,73
6,XA*,6509,33682,6510,33770
6,BiXA*,3033,101813,3034,102607
7,BiXA*,26017,10402606,,
