Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,34,69,56,110,65,161,395,803,-,-
6x6,BiX-DFBnB,44,115,50,198,85,342,639,2170,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,28,74,54,134,113,284,2488,5482,-,-
6x7,BiX-DFBnB,46,185,69,286,168,772,3006,12019,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,40,105,309,774,410,1095,11867,26177,-,-
6x8,BiX-DFBnB,46,183,535,2076,377,1932,12182,51249,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,50,132,354,887,554,1649,8937,21144,-,-
7x7,BiX-DFBnB,63,309,494,2216,887,4693,10223,43192,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,98,317,397,1232,5639,15848,25307,73764,-,-
7x8,BiX-DFBnB,127,684,885,4342,7627,35610,30530,151931,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,783,2451,2188,6399,15560,49061,-,-,-,-
8x8,BiX-DFBnB,1879,8548,3342,16054,29533,154852,-,-,-,-
