Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,4,4,4,4
4,BiXIDA,3,4,3,5
5,XIDA,53,92,53,92
5,BiXIDA,74,199,74,199
6,XIDA,12689,70750,12689,70752
6,BiXIDA,21332,216831,21332,216834
