Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XDFBnB,451,1379,20588,70387,,
13x13,BiXDFBnB,501,933,12804,26823,,
