Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,2,2,4,3
4,BiXDFBnB,2,2,5,3
5,XDFBnB,5,15,29,63
5,BiXDFBnB,5,13,20,44
6,XDFBnB,26,119,3727,42951
6,BiXDFBnB,957,4340,4366,31476
