Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XMM,4,3,7,5
4,XA*,,,5,3
4,BiXA*,7,5,,
5,XMM,35,53,55,100
5,XA*,,,36,53
5,BiXA*,39,75,,
6,XMM,6509,32549,17663,101895
6,XA*,,,6510,32621
6,BiXA*,4854,33938,,
7,BiXA*,82805,2310099,,
