Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,27,83,47,149,49,234,306,1123
6x6,BiXDFBnB,26,56,40,86,66,160,501,1109
6x7,XDFBnB,24,91,38,153,80,347,1902,8186
6x7,BiXDFBnB,30,78,48,133,111,337,2070,5490
6x8,XDFBnB,29,148,236,986,305,1425,8973,36056
6x8,BiXDFBnB,35,86,399,858,288,903,9485,25686
7x7,XDFBnB,39,200,260,1198,408,2124,6716,31315
7x7,BiXDFBnB,39,126,353,963,686,2020,6880,19655
7x8,XDFBnB,73,384,297,1714,4251,24364,18242,90610
7x8,BiXDFBnB,90,277,641,1881,5046,17993,22882,70765
8x8,XDFBnB,549,2982,1610,8487,11785,68252,64134,420469
8x8,BiXDFBnB,1364,2977,2200,7172,20218,72504,110018,323830
