Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,41,86,70,170,68,173,441,913
6x6,BiXIDA,45,147,59,261,86,363,733,2660
6x7,XIDA,38,108,64,211,139,378,2610,5868
6x7,BiXIDA,58,262,83,379,199,985,3248,13657
6x8,XIDA,66,198,384,1003,418,1195,12677,27243
6x8,BiXIDA,58,286,690,2981,408,2237,13372,55072
7x7,XIDA,59,172,404,1087,567,1680,10401,25037
7x7,BiXIDA,67,392,567,2766,883,4510,11600,50941
7x8,XIDA,115,402,490,1650,6466,17702,26474,78895
7x8,BiXIDA,137,784,1152,6124,8689,39430,32617,166198
8x8,XIDA,868,2894,2796,9090,17929,57116,96926,369533
8x8,BiXIDA,2643,13780,3833,19805,36336,203881,157927,855188
