Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,3,3,3,3
4,BiXDFBnB,3,2,4,3
5,XDFBnB,30,30,55,62
5,BiXDFBnB,9,13,33,48
6,XDFBnB,807,1335,7247,33796
6,BiXDFBnB,1529,5388,7597,35248
7,XDFBnB,1282664,13392748,,
7,BiXDFBnB,26867,271783,,
