Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,2,3,4,4
4,BiXDFBnB,2,2,5,3
5,XDFBnB,5,15,29,62
5,BiXDFBnB,5,13,20,43
6,XDFBnB,26,121,3727,42968
6,BiXDFBnB,957,4390,4366,31557
7,XDFBnB,58185,605643,,
7,BiXDFBnB,5816,76438,,
