--- LSP Grids ---
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,-1,108,109,146,174,208,235,829,1068
6x6,XMM,1,108,112,146,172,208,235,829,1078
6x6,XMM,2,108,109,146,169,208,236,829,1060
6x6,XMM,3,108,107,146,169,208,241,829,1066
6x6,XMM,4,108,109,146,166,208,237,829,1079
6x6,XA*,-1,96,74,170,130,171,150,1071,833
6x6,XA*,1,96,75,170,130,171,151,1071,840
6x6,XA*,2,96,73,170,130,171,153,1071,830
6x6,XA*,3,96,71,170,128,171,155,1071,826
6x6,XA*,4,96,72,170,126,171,152,1071,834
6x6,BiXA*,-1,90,44,148,82,230,128,1827,1044
6x6,BiXA*,1,133,147,237,274,354,425,2655,3108
6x6,BiXA*,2,46,31,91,60,122,92,999,724
6x6,BiXA*,3,39,107,50,203,80,336,638,2243
6x6,BiXA*,4,25,51,40,96,63,148,499,1173
6x6,XDFBnB,-1,1,2319,1,5650,1,24305,1,259505
6x6,XDFBnB,1,96,53,172,92,193,126,1167,649
6x6,XDFBnB,2,50,57,90,90,98,126,603,676
6x6,XDFBnB,3,34,70,56,110,65,163,395,802
6x6,XDFBnB,4,27,84,47,152,49,219,306,1141
6x6,BiXDFBnB,-1,106,56,149,89,250,183,1842,1725
6x6,BiXDFBnB,1,163,179,240,290,407,526,2659,3319
6x6,BiXDFBnB,2,52,35,91,54,132,94,1007,672
6x6,BiXDFBnB,3,44,116,50,200,85,341,639,2175
6x6,BiXDFBnB,4,26,57,40,88,66,151,501,1120
6x6,XIDA,-1,115,71,218,131,203,124,1307,696
6x6,XIDA,1,115,67,218,135,203,124,1307,704
6x6,XIDA,2,59,76,114,133,104,148,676,759
6x6,XIDA,3,41,86,70,170,68,173,441,913
6x6,XIDA,4,32,112,59,231,52,251,342,1322
6x6,BiXIDA,-1,111,58,177,107,255,152,2137,1159
6x6,BiXIDA,1,173,210,317,403,407,504,3127,3793
6x6,BiXIDA,2,55,38,106,74,134,102,1155,789
6x6,BiXIDA,3,45,147,59,261,86,363,733,2660
6x6,BiXIDA,4,27,69,47,122,69,175,584,1390
6x7,XMM,-1,93,123,228,266,357,432,2130,3451
6x7,XMM,1,93,124,228,267,357,430,2130,3481
6x7,XMM,2,93,125,228,264,357,444,2130,3436
6x7,XMM,3,93,129,228,265,357,434,2130,3455
6x7,XMM,4,93,128,228,265,357,433,2130,3447
6x7,XA*,-1,82,81,152,149,312,284,6056,5262
6x7,XA*,1,82,83,152,152,312,283,6056,5250
6x7,XA*,2,82,84,152,150,312,294,6056,5197
6x7,XA*,3,82,86,152,150,312,287,6056,5216
6x7,XA*,4,82,86,152,148,312,287,6056,5225
6x7,BiXA*,-1,116,76,178,116,428,304,8060,4863
6x7,BiXA*,1,203,290,408,516,1031,1389,12622,15839
6x7,BiXA*,2,60,58,88,73,213,207,4005,3635
6x7,BiXA*,3,45,182,63,255,160,733,2971,12297
6x7,BiXA*,4,30,84,45,117,109,339,2050,5573
6x7,XDFBnB,-1,1,4975,1,34000,1,114231,1,1581478
6x7,XDFBnB,1,81,54,161,105,339,227,7531,4442
6x7,XDFBnB,2,39,56,79,108,162,219,3789,4457
6x7,XDFBnB,3,28,73,54,125,113,276,2488,5551
6x7,XDFBnB,4,24,89,38,152,80,344,1902,7612
6x7,BiXDFBnB,-1,121,88,196,186,454,510,8155,7374
6x7,BiXDFBnB,1,213,305,425,552,1050,1524,12644,16597
6x7,BiXDFBnB,2,62,53,95,80,220,210,4049,3280
6x7,BiXDFBnB,3,46,183,69,266,168,760,3006,12209
6x7,BiXDFBnB,4,30,78,48,133,111,334,2070,5189
6x7,XIDA,-1,126,91,195,133,415,294,7894,4816
6x7,XIDA,1,126,93,195,132,415,282,7894,4868
6x7,XIDA,2,60,102,96,134,202,290,3974,4823
6x7,XIDA,3,38,108,64,211,139,378,2610,5868
6x7,XIDA,4,34,168,46,209,99,445,1992,8128
6x7,BiXIDA,-1,153,109,225,154,538,401,8866,5741
6x7,BiXIDA,1,301,461,543,765,1290,1951,14120,19318
6x7,BiXIDA,2,78,72,111,101,262,272,4405,3630
6x7,BiXIDA,3,58,262,83,379,199,985,3248,13657
6x7,BiXIDA,4,37,117,57,170,134,443,2247,5401
6x8,XMM,-1,148,192,920,1368,845,1321,9929,18034
6x8,XMM,1,148,193,920,1371,845,1342,9929,17611
6x8,XMM,2,148,196,920,1385,845,1334,9929,17997
6x8,XMM,3,148,192,920,1356,845,1343,9929,18005
6x8,XMM,4,148,191,920,1360,845,1319,9929,18043
6x8,XA*,-1,114,118,846,853,1108,1103,24910,22334
6x8,XA*,1,114,118,846,863,1108,1124,24910,22061
6x8,XA*,2,114,121,846,871,1108,1119,24910,22481
6x8,XA*,3,114,119,846,848,1108,1136,24910,22458
6x8,XA*,4,114,117,846,865,1108,1117,24910,22544
6x8,BiXA*,-1,112,82,1552,955,1086,829,35487,24462
6x8,BiXA*,1,213,296,2941,3930,2447,3625,53911,70813
