Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,59,79,114,136,104,148,676,823
6x6,BiXIDA,55,39,106,78,134,105,1155,874
6x7,XIDA,60,124,96,136,202,294,3974,5049
6x7,BiXIDA,78,80,111,102,262,282,4405,3847
6x8,XIDA,102,274,604,996,638,1162,19572,25601
6x8,BiXIDA,88,121,1041,1000,605,759,19838,18186
7x7,XIDA,86,232,602,898,834,1313,15693,22037
7x7,BiXIDA,90,183,829,836,1389,1355,15135,14520
7x8,XIDA,174,344,734,1382,9595,15159,38392,58931
7x8,BiXIDA,200,226,1656,1814,11534,11703,48569,49246
8x8,XIDA,1253,2530,4307,8093,27337,48971,140372,270683
8x8,BiXIDA,3713,4456,5000,5754,48388,58671,222222,234111
