Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XIDA,1879,5998,76597,390463,,
13x13,BiXIDA,2514,5354,41294,123680,,
