Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,1,5,3,8
4,BiXIDA,1,8,3,11
5,XIDA,10,79,18,115
5,BiXIDA,19,147,27,194
6,XIDA,4522,145124,4522,145128
6,BiXIDA,6048,245863,6048,245867
7,XIDA,136782,42059731,,
7,BiXIDA,59697,26120691,,
