Grid Size,Algorithm,20% Expansion,20% Time,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
5x5,A*,31,85,42,123,80,266,132,457,246,1012
5x5,XMM,26,103,31,134,62,275,77,358,177,886
5x5,A*/XMM,1.19,0.83,1.35,0.92,1.29,0.97,1.71,1.28,1.39,1.14
5x6,A*,33,104,140,575,277,1214,288,1258,580,2911
5x6,XMM,33,154,96,491,152,830,307,1706,561,3377
5x6,A*/XMM,1.00,0.68,1.46,1.17,1.82,1.46,0.94,0.74,1.03,0.86
5x7,A*,90,377,170,811,186,875,955,5039,1823,10706
5x7,XMM,51,293,144,900,188,1172,769,4912,1269,8525
5x7,A*/XMM,1.76,1.29,1.18,0.90,0.99,0.75,1.24,1.03,1.44,1.26
5x8,A*,89,404,330,1746,639,3755,1083,6385,4871,35688
5x8,XMM,66,396,205,1335,479,3269,638,4498,3722,31008
5x8,A*/XMM,1.35,1.02,1.61,1.31,1.33,1.15,1.70,1.42,1.31,1.15
5x9,A*,77,380,262,1592,730,4508,1809,12629,8074,69986
5x9,XMM,92,627,188,1343,313,2315,1329,10583,7101,70437
5x9,A*/XMM,0.84,0.61,1.39,1.19,2.33,1.95,1.36,1.19,1.14,0.99
6x6,A*,138,630,238,1151,342,1748,1315,7988,4656,29660
6x6,XMM,81,468,128,814,241,1503,701,4928,2376,17990
6x6,A*/XMM,1.70,1.35,1.86,1.41,1.42,1.16,1.88,1.62,1.96,1.65
6x7,A*,140,723,317,1832,566,3367,4264,30779,7655,60940
6x7,XMM,100,661,264,1852,454,3175,2052,16776,4683,42094
6x7,A*/XMM,1.40,1.09,1.20,0.99,1.25,1.06,2.08,1.83,1.63,1.45
6x8,A*,260,1524,1037,6967,1397,10270,15027,116833,41143,355412
6x8,XMM,124,899,728,5847,848,7270,6216,58013,23012,250081
6x8,A*/XMM,2.10,1.70,1.42,1.19,1.65,1.41,2.42,2.01,1.79,1.42
6x9,A*,579,3980,1175,8845,13354,105027,13207,112049,38525,388386
6x9,XMM,353,2975,942,8603,5458,53419,12839,136428,36486,457113
6x9,A*/XMM,1.64,1.34,1.25,1.03,2.45,1.97,1.03,0.82,1.06,0.85
7x7,A*,255,1514,1191,8149,1990,14722,10694,90226,39447,382200
7x7,XMM,177,1266,587,4778,1448,12108,5192,49929,18949,207238
7x7,A*/XMM,1.44,1.20,2.03,1.71,1.37,1.22,2.06,1.81,2.08,1.84
7x8,A*,444,3095,2398,18396,10052,82695,18797,176729,109312,1125143
7x8,XMM,290,2471,1966,18316,6658,66058,11738,128133,98439,1384262
7x8,A*/XMM,1.53,1.25,1.22,1.00,1.51,1.25,1.60,1.38,1.11,0.81
7x9,A*,2204,19209,6894,64476,38403,426664,111788,1150695,,
7x9,XMM,901,8931,2947,33053,16584,223551,88388,1430351,,
7x9,A*/XMM,2.45,2.15,2.34,1.95,2.32,1.91,1.26,0.80,,
8x8,A*,3915,34743,5668,50498,30562,314174,103223,1225515,245087,3190982
8x8,XMM,1484,15622,2158,22756,11247,138079,51885,908558,199954,3606091
8x8,A*/XMM,2.64,2.22,2.63,2.22,2.72,2.28,1.99,1.35,1.23,0.88
8x9,A*,2888,27955,9516,105528,19170,223564,162385,2040120,,
8x9,XMM,1479,16926,3411,41492,24866,334715,95410,1580317,,
8x9,A*/XMM,1.95,1.65,2.79,2.54,0.77,0.67,1.70,1.29,,
9x9,A*,13573,148411,38135,491011,,,,,,
9x9,XMM,4877,63203,17679,258566,,,,,,
9x9,A*/XMM,2.78,2.35,2.16,1.90,,,,,,
