Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,38,222,66,463,88,1044,387,3828
7x7,BiXDFBnB,37,253,58,472,81,911,276,2740
7x8,XDFBnB,89,609,138,1533,233,2977,692,9051
7x8,BiXDFBnB,300,873,229,1829,248,2886,629,7898
7x9,XDFBnB,115,1143,324,2440,574,10122,531,9735
7x9,BiXDFBnB,139,1283,333,2132,948,10986,1045,12564
8x8,XDFBnB,192,1086,197,2435,848,9753,1592,24251
8x8,BiXDFBnB,106,1104,197,2314,686,9435,1696,21500
8x9,XDFBnB,187,2526,669,9019,1663,25625,5083,101116
8x9,BiXDFBnB,274,2821,707,10860,1548,21821,5144,92897
9x9,XDFBnB,1040,9401,1875,29285,2624,60615,8518,195574
9x9,BiXDFBnB,748,7320,2127,26344,4578,62663,10039,190015
