Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,1,2,2,4
4,BiXIDA,1,2,1,2
5,XIDA,6,111,28,142
5,BiXIDA,7,66,34,115
6,XIDA,3735,248591,3735,248598
6,BiXIDA,4015,148871,4015,148873
