Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,3
4,BiXA*,3,4,4,4
5,XA*,35,49,36,50
5,BiXA*,53,131,54,132
6,XA*,6509,31924,6510,32003
6,BiXA*,10980,99611,10981,100307
