Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,97,275,113,418,153,732,825,3045
7x7,BiXDFBnB,93,262,99,402,165,763,508,2091
7x8,XDFBnB,116,506,267,1319,475,2463,1316,7406
7x8,BiXDFBnB,385,783,329,1402,466,2190,1183,5910
7x9,XDFBnB,214,926,1140,3228,979,6436,1556,9787
7x9,BiXDFBnB,293,1145,850,2394,1960,8441,2044,10002
8x8,XDFBnB,399,1127,363,1866,1667,8658,2667,16459
8x8,BiXDFBnB,199,883,498,2070,1131,6550,3340,16415
8x9,XDFBnB,343,1989,1113,7139,3422,21805,9804,71144
8x9,BiXDFBnB,521,2499,1305,7989,3079,17900,10936,70454
9x9,XDFBnB,977,6250,3859,24568,5055,42979,22354,156954
9x9,BiXDFBnB,1113,6105,4169,22204,7712,48018,20410,144374
