Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,34,74,56,109,65,162,395,810
6x6,BiXDFBnB,44,122,50,196,85,340,639,2189
6x7,XDFBnB,28,75,54,132,113,282,2488,5836
6x7,BiXDFBnB,46,186,69,279,168,769,3006,12705
6x8,XDFBnB,40,108,309,823,410,1093,11867,27652
6x8,BiXDFBnB,46,187,535,2259,377,1927,12182,54119
7x7,XDFBnB,50,134,354,907,554,1612,8937,26764
7x7,BiXDFBnB,63,314,494,2273,887,4444,10223,51804
7x8,XDFBnB,98,309,397,1265,5639,14526,25307,73584
7x8,BiXDFBnB,127,670,885,4441,7627,32778,30530,151523
8x8,XDFBnB,783,2479,2188,6484,15560,51268,88460,299900
8x8,BiXDFBnB,1879,8697,3342,16186,29533,168788,159236,785797
