Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,3
4,BiXA*,3,2,4,2
5,XA*,35,49,36,50
5,BiXA*,32,49,33,49
6,XA*,6509,32043,6510,32120
6,BiXA*,6450,33623,6451,34047
