Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,41,90,70,176,68,179,441,980
6x6,BiXIDA,45,153,59,274,86,376,733,2818
6x7,XIDA,38,114,64,181,139,383,2610,6274
6x7,BiXIDA,58,276,83,362,199,1020,3248,14785
6x8,XIDA,66,242,384,1156,418,1524,12677,30496
6x8,BiXIDA,58,318,690,3380,408,2677,13372,62265
7x7,XIDA,59,214,404,1119,567,1728,10401,26307
7x7,BiXIDA,67,490,567,2848,883,4687,11600,53754
7x8,XIDA,115,411,490,1698,6466,18665,26474,103555
7x8,BiXIDA,137,811,1152,6416,8689,41595,32617,235453
8x8,XIDA,868,4728,2796,9612,17929,60577,96926,367153
8x8,BiXIDA,2643,21939,3833,21083,36336,217176,157927,891498
